timestamp_ns,module,scope,kind,value
2509171186128333,SystemManagerTick,ExecuteTick,ns,4181250.000000
2509171193410958,SystemManagerTick,ExecuteTick,ns,1084.000000
2509171210173958,SystemManagerTick,ExecuteTick,ns,4245625.000000
2509171216842958,SystemManagerTick,ExecuteTick,ns,959.000000
2509171233554583,SystemManagerTick,ExecuteTick,ns,4205041.000000
2509171240805333,SystemManagerTick,ExecuteTick,ns,958.000000
2509171256906375,SystemManagerTick,ExecuteTick,ns,3594875.000000
2509171264239666,SystemManagerTick,ExecuteTick,ns,1208.000000
2509171280352000,SystemManagerTick,ExecuteTick,ns,3604000.000000
2509171287075166,SystemManagerTick,ExecuteTick,ns,1417.000000
2509171303748083,SystemManagerTick,ExecuteTick,ns,4169667.000000
2509171311046666,SystemManagerTick,ExecuteTick,ns,1334.000000
2509171325491791,SystemManagerTick,ExecuteTick,ns,3641750.000000
2509171333460833,SystemManagerTick,ExecuteTick,ns,1500.000000
2509171350278875,SystemManagerTick,ExecuteTick,ns,4312208.000000
2509171357396375,SystemManagerTick,ExecuteTick,ns,1583.000000
2509171373792666,SystemManagerTick,ExecuteTick,ns,3890791.000000
2509171381437708,SystemManagerTick,ExecuteTick,ns,959.000000
2509171397927166,SystemManagerTick,ExecuteTick,ns,3983166.000000
2509171405465791,SystemManagerTick,ExecuteTick,ns,1333.000000
2509171420370791,SystemManagerTick,ExecuteTick,ns,4530084.000000
2509171426074708,SystemManagerTick,ExecuteTick,ns,2708.000000
2509171442236625,SystemManagerTick,ExecuteTick,ns,3642500.000000
2509171450202458,SystemManagerTick,ExecuteTick,ns,1792.000000
2509171466950500,SystemManagerTick,ExecuteTick,ns,4217709.000000
2509171474205208,SystemManagerTick,ExecuteTick,ns,1833.000000
2509171489304208,SystemManagerTick,ExecuteTick,ns,3651708.000000
2509171496069208,SystemManagerTick,ExecuteTick,ns,1125.000000
2509171511764791,SystemManagerTick,ExecuteTick,ns,4009875.000000
2509171517794833,SystemManagerTick,ExecuteTick,ns,1083.000000
2509171532125875,SystemManagerTick,ExecuteTick,ns,3646042.000000
2509171540092083,SystemManagerTick,ExecuteTick,ns,4084.000000
2509171556834750,SystemManagerTick,ExecuteTick,ns,4237750.000000
2509171563111625,SystemManagerTick,ExecuteTick,ns,958.000000
2509171579865708,SystemManagerTick,ExecuteTick,ns,4249333.000000
2509171587063166,SystemManagerTick,ExecuteTick,ns,2000.000000
2509171601968791,SystemManagerTick,ExecuteTick,ns,4217625.000000
2509171607828333,SystemManagerTick,ExecuteTick,ns,1208.000000
2509171623952583,SystemManagerTick,ExecuteTick,ns,3609875.000000
2509171631951291,SystemManagerTick,ExecuteTick,ns,1292.000000
2509171648046333,SystemManagerTick,ExecuteTick,ns,3586833.000000
2509171655344125,SystemManagerTick,ExecuteTick,ns,1125.000000
2509171670614791,SystemManagerTick,ExecuteTick,ns,4140750.000000
2509171677947000,SystemManagerTick,ExecuteTick,ns,1250.000000
2509171694829083,SystemManagerTick,ExecuteTick,ns,4502416.000000
2509171701708083,SystemManagerTick,ExecuteTick,ns,1000.000000
2509171717307541,SystemManagerTick,ExecuteTick,ns,4554000.000000
2509171724137208,SystemManagerTick,ExecuteTick,ns,1959.000000
2509171739751583,SystemManagerTick,ExecuteTick,ns,4599375.000000
2509171746510833,SystemManagerTick,ExecuteTick,ns,1375.000000
2509171763002791,SystemManagerTick,ExecuteTick,ns,3982041.000000
2509171770532208,SystemManagerTick,ExecuteTick,ns,1000.000000
2509171787427833,SystemManagerTick,ExecuteTick,ns,4388334.000000
2509171794449625,SystemManagerTick,ExecuteTick,ns,708.000000
2509171810790500,SystemManagerTick,ExecuteTick,ns,3831000.000000
2509171818509750,SystemManagerTick,ExecuteTick,ns,708.000000
2509171835390625,SystemManagerTick,ExecuteTick,ns,4371625.000000
2509171841701250,SystemManagerTick,ExecuteTick,ns,958.000000
2509171858270458,SystemManagerTick,ExecuteTick,ns,4061792.000000
2509171865705166,SystemManagerTick,ExecuteTick,ns,1334.000000
2509171882488375,SystemManagerTick,ExecuteTick,ns,4598709.000000
2509171889259000,SystemManagerTick,ExecuteTick,ns,1334.000000
2509171906415250,SystemManagerTick,ExecuteTick,ns,4650708.000000
2509171913130708,SystemManagerTick,ExecuteTick,ns,1625.000000
2509171929944208,SystemManagerTick,ExecuteTick,ns,4308584.000000
2509171937084250,SystemManagerTick,ExecuteTick,ns,1542.000000
2509171953699208,SystemManagerTick,ExecuteTick,ns,4159875.000000
2509171961005833,SystemManagerTick,ExecuteTick,ns,1000.000000
2509171975387666,SystemManagerTick,ExecuteTick,ns,4231417.000000
2509171982619458,SystemManagerTick,ExecuteTick,ns,1667.000000
2509171999361333,SystemManagerTick,ExecuteTick,ns,4237375.000000
2509172006585208,SystemManagerTick,ExecuteTick,ns,1583.000000
2509172022063375,SystemManagerTick,ExecuteTick,ns,3582792.000000
2509172028558541,SystemManagerTick,ExecuteTick,ns,1125.000000
2509172043751833,SystemManagerTick,ExecuteTick,ns,4209166.000000
2509172049803208,SystemManagerTick,ExecuteTick,ns,834.000000
2509172065554125,SystemManagerTick,ExecuteTick,ns,3750042.000000
2509172073378333,SystemManagerTick,ExecuteTick,ns,1125.000000
2509172090027875,SystemManagerTick,ExecuteTick,ns,4144125.000000
2509172097356916,SystemManagerTick,ExecuteTick,ns,1209.000000
2509172113464833,SystemManagerTick,ExecuteTick,ns,3598958.000000
2509172121476041,SystemManagerTick,ExecuteTick,ns,1667.000000
2509172138350125,SystemManagerTick,ExecuteTick,ns,4370083.000000
2509172145402041,SystemManagerTick,ExecuteTick,ns,833.000000
2509172160170541,SystemManagerTick,ExecuteTick,ns,4187250.000000
2509172167425208,SystemManagerTick,ExecuteTick,ns,916.000000
2509172183982958,SystemManagerTick,ExecuteTick,ns,4590625.000000
2509172190771083,SystemManagerTick,ExecuteTick,ns,1500.000000
2509172207449416,SystemManagerTick,ExecuteTick,ns,4173917.000000
2509172214744708,SystemManagerTick,ExecuteTick,ns,1000.000000
2509172231468041,SystemManagerTick,ExecuteTick,ns,4217292.000000
2509172238719958,SystemManagerTick,ExecuteTick,ns,3750.000000
2509172255028291,SystemManagerTick,ExecuteTick,ns,4223667.000000
2509172262272541,SystemManagerTick,ExecuteTick,ns,1292.000000
2509172276331541,SystemManagerTick,ExecuteTick,ns,3672375.000000
2509172284247666,SystemManagerTick,ExecuteTick,ns,1125.000000
2509172300021125,SystemManagerTick,ExecuteTick,ns,4429750.000000
2509172307005375,SystemManagerTick,ExecuteTick,ns,1417.000000
2509172321441375,SystemManagerTick,ExecuteTick,ns,3979875.000000
2509172327488291,SystemManagerTick,ExecuteTick,ns,1208.000000
2509172343450041,SystemManagerTick,ExecuteTick,ns,3613875.000000
2509172351440166,SystemManagerTick,ExecuteTick,ns,875.000000
2509172366539833,SystemManagerTick,ExecuteTick,ns,4545250.000000
2509172373384875,SystemManagerTick,ExecuteTick,ns,3792.000000
2509172388523541,SystemManagerTick,ExecuteTick,ns,4065458.000000
2509172395141583,SystemManagerTick,ExecuteTick,ns,917.000000
2509172409312041,SystemManagerTick,ExecuteTick,ns,3733667.000000
2509172417166166,SystemManagerTick,ExecuteTick,ns,1125.000000
2509172433225833,SystemManagerTick,ExecuteTick,ns,3833625.000000
2509172440954250,SystemManagerTick,ExecuteTick,ns,2375.000000
2509172457140666,SystemManagerTick,ExecuteTick,ns,3678666.000000
2509172465050916,SystemManagerTick,ExecuteTick,ns,1625.000000
2509172481781500,SystemManagerTick,ExecuteTick,ns,4212917.000000
2509172489026000,SystemManagerTick,ExecuteTick,ns,1208.000000
2509172504044000,SystemManagerTick,ExecuteTick,ns,4172875.000000
2509172511339000,SystemManagerTick,ExecuteTick,ns,1083.000000
2509172528086208,SystemManagerTick,ExecuteTick,ns,4241542.000000
2509172534707166,SystemManagerTick,ExecuteTick,ns,1209.000000
